"U:0","U:1","U:2","p","total(p)","Points:0","Points:1","Points:2"
1.0347,0.002731,-3.3978e-23,3.4237,4.7508,0.6,-0.152,0
1.0347,0.002756,7.4522e-24,3.4198,4.7461,0.6,-0.1516,0
1.0347,0.0027809,4.8884e-23,3.4159,4.7414,0.6,-0.1512,0
1.0347,0.0028059,9.0315e-23,3.412,4.7367,0.6,-0.1508,0
1.0347,0.0028309,1.3175e-22,3.408,4.732,0.6,-0.1504,0
1.0347,0.0028558,1.7318e-22,3.4041,4.7273,0.6,-0.15,0
1.0347,0.0028818,1.5281e-22,3.4002,4.7226,0.6,-0.1496,0
1.0347,0.0029079,1.3244e-22,3.3962,4.7178,0.6,-0.1492,0
1.0347,0.0029339,1.1207e-22,3.3923,4.7131,0.6,-0.1488,0
1.0346,0.0029599,9.1703e-23,3.3884,4.7084,0.6,-0.1484,0
1.0346,0.002986,7.1334e-23,3.3845,4.7036,0.6,-0.148,0
1.0346,0.003012,5.0965e-23,3.3805,4.6989,0.6,-0.1476,0
1.0346,0.003038,3.0597e-23,3.3766,4.6942,0.6,-0.1472,0
1.0346,0.0030641,1.0228e-23,3.3727,4.6894,0.6,-0.1468,0
1.0345,0.0030909,-1.0149e-23,3.3688,4.6847,0.6,-0.1464,0
1.0345,0.0031182,-3.0531e-23,3.3648,4.6799,0.6,-0.146,0
1.0345,0.0031455,-5.0912e-23,3.3609,4.6752,0.6,-0.1456,0
1.0344,0.0031728,-7.1294e-23,3.357,4.6704,0.6,-0.1452,0
1.0344,0.0032001,-9.1675e-23,3.353,4.6656,0.6,-0.1448,0
1.0344,0.0032274,-1.1206e-22,3.3491,4.6609,0.6,-0.1444,0
1.0343,0.0032547,-1.3244e-22,3.3452,4.6561,0.6,-0.144,0
1.0343,0.003282,-1.5282e-22,3.3413,4.6514,0.6,-0.1436,0
1.0342,0.0033097,-1.5308e-22,3.3373,4.6466,0.6,-0.1432,0
1.0342,0.0033384,-1.1296e-22,3.3334,4.6418,0.6,-0.1428,0
1.0341,0.003367,-7.2842e-23,3.3295,4.6371,0.6,-0.1424,0
1.0341,0.0033957,-3.2721e-23,3.3256,4.6323,0.6,-0.142,0
1.034,0.0034243,7.4003e-24,3.3216,4.6275,0.6,-0.1416,0
1.034,0.003453,4.7521e-23,3.3177,4.6227,0.6,-0.1412,0
1.0339,0.0034816,8.7642e-23,3.3138,4.6179,0.6,-0.1408,0
1.0339,0.0035103,1.2776e-22,3.3098,4.6132,0.6,-0.1404,0
1.0338,0.0035389,1.6788e-22,3.3059,4.6084,0.6,-0.14,0
1.0338,0.0035692,1.4813e-22,3.302,4.6036,0.6,-0.1396,0
1.0337,0.0035994,1.2838e-22,3.2981,4.5988,0.6,-0.1392,0
1.0336,0.0036296,1.0863e-22,3.2941,4.594,0.6,-0.1388,0
1.0336,0.0036598,8.8885e-23,3.2902,4.5892,0.6,-0.1384,0
1.0335,0.0036901,6.9135e-23,3.2863,4.5844,0.6,-0.138,0
1.0334,0.0037203,4.9386e-23,3.2823,4.5796,0.6,-0.1376,0
1.0334,0.0037505,2.9636e-23,3.2784,4.5748,0.6,-0.1372,0
1.0333,0.0037807,9.8865e-24,3.2745,4.57,0.6,-0.1368,0
1.0333,0.0038122,3.0549e-24,3.2706,4.5652,0.6,-0.1364,0
1.0332,0.0038442,2.6588e-24,3.2666,4.5604,0.6,-0.136,0
1.0331,0.0038762,2.2626e-24,3.2627,4.5556,0.6,-0.1356,0
1.033,0.0039082,1.8665e-24,3.2588,4.5508,0.6,-0.1352,0
1.033,0.0039402,1.4704e-24,3.2548,4.546,0.6,-0.1348,0
1.0329,0.0039722,1.0743e-24,3.2509,4.5412,0.6,-0.1344,0
1.0328,0.0040042,6.7814e-25,3.247,4.5364,0.6,-0.134,0
1.0327,0.0040362,2.82e-25,3.2431,4.5316,0.6,-0.1336,0
1.0327,0.0040688,6.5183e-24,3.2391,4.5268,0.6,-0.1332,0
1.0326,0.0041027,2.6071e-23,3.2352,4.522,0.6,-0.1328,0
1.0325,0.0041365,4.5622e-23,3.2313,4.5172,0.6,-0.1324,0
1.0324,0.0041704,6.5175e-23,3.2273,4.5123,0.6,-0.132,0
1.0323,0.0042043,8.4727e-23,3.2234,4.5075,0.6,-0.1316,0
1.0322,0.0042382,1.0428e-22,3.2195,4.5027,0.6,-0.1312,0
1.0322,0.0042721,1.2383e-22,3.2156,4.4979,0.6,-0.1308,0
1.0321,0.0043059,1.4338e-22,3.2116,4.4931,0.6,-0.1304,0
1.032,0.0043398,1.6294e-22,3.2077,4.4882,0.6,-0.13,0
1.0319,0.0043757,1.3389e-22,3.2038,4.4834,0.6,-0.1296,0
1.0318,0.0044116,1.0484e-22,3.1998,4.4786,0.6,-0.1292,0
1.0317,0.0044474,7.5794e-23,3.1959,4.4738,0.6,-0.1288,0
1.0316,0.0044833,4.6747e-23,3.192,4.4689,0.6,-0.1284,0
1.0315,0.0045192,1.77e-23,3.188,4.4641,0.6,-0.128,0
1.0314,0.0045551,-1.1348e-23,3.1841,4.4593,0.6,-0.1276,0
1.0313,0.0045909,-4.0394e-23,3.1802,4.4544,0.6,-0.1272,0
1.0312,0.0046268,-6.9442e-23,3.1763,4.4496,0.6,-0.1268,0
1.0311,0.0046642,-7.2755e-23,3.1723,4.4448,0.6,-0.1264,0
1.031,0.0047023,-6.3247e-23,3.1684,4.4399,0.6,-0.126,0
1.0309,0.0047403,-5.3739e-23,3.1645,4.4351,0.6,-0.1256,0
1.0308,0.0047784,-4.4232e-23,3.1605,4.4303,0.6,-0.1252,0
1.0307,0.0048165,-3.4724e-23,3.1566,4.4254,0.6,-0.1248,0
1.0306,0.0048546,-2.5217e-23,3.1527,4.4206,0.6,-0.1244,0
1.0305,0.0048927,-1.5709e-23,3.1488,4.4157,0.6,-0.124,0
1.0304,0.0049307,-6.2011e-24,3.1448,4.4109,0.6,-0.1236,0
1.0303,0.0049696,1.9842e-25,3.1409,4.406,0.6,-0.1232,0
1.0302,0.0050101,3.5847e-25,3.137,4.4012,0.6,-0.1228,0
1.0301,0.0050507,5.1852e-25,3.1331,4.3963,0.6,-0.1224,0
1.03,0.0050912,6.7858e-25,3.1291,4.3915,0.6,-0.122,0
1.0299,0.0051317,8.3863e-25,3.1252,4.3866,0.6,-0.1216,0
