"U:0","U:1","U:2","arc_length","p","total(p)","Points:0","Points:1","Points:2"
1.0287,0.0054114,2.4627e-25,0.0812,-0.026611,0.603,0.6,-0.1188,0
1.0286,0.0054546,3.2673e-25,0.0816,-0.026619,0.60284,0.6,-0.1184,0
1.0284,0.0054977,4.0719e-25,0.082,-0.026626,0.60267,0.6,-0.118,0
1.0283,0.0055409,4.8765e-25,0.0824,-0.026634,0.6025,0.6,-0.1176,0
1.0282,0.0055841,5.6811e-25,0.0828,-0.026642,0.60233,0.6,-0.1172,0
1.028,0.0056273,6.4856e-25,0.0832,-0.02665,0.60216,0.6,-0.1168,0
1.0279,0.0056723,6.2147e-25,0.0836,-0.026658,0.60198,0.6,-0.1164,0
1.0278,0.0057183,5.408e-25,0.084,-0.026665,0.60179,0.6,-0.116,0
1.0276,0.0057644,4.6013e-25,0.0844,-0.026672,0.60161,0.6,-0.1156,0
1.0275,0.0058104,3.7946e-25,0.0848,-0.02668,0.60142,0.6,-0.1152,0
1.0273,0.0058564,2.9879e-25,0.0852,-0.026687,0.60123,0.6,-0.1148,0
1.0272,0.0059024,2.1812e-25,0.0856,-0.026694,0.60104,0.6,-0.1144,0
1.027,0.0059484,1.3745e-25,0.086,-0.026702,0.60086,0.6,-0.114,0
1.0269,0.0059944,5.6786e-26,0.0864,-0.026709,0.60067,0.6,-0.1136,0
1.0267,0.0060415,2.9257e-27,0.0868,-0.026716,0.60048,0.6,-0.1132,0
1.0266,0.0060907,2.8847e-27,0.0872,-0.026722,0.60027,0.6,-0.1128,0
1.0264,0.0061398,2.8437e-27,0.0876,-0.026729,0.60006,0.6,-0.1124,0
1.0262,0.006189,2.8028e-27,0.088,-0.026736,0.59985,0.6,-0.112,0
1.0261,0.0062382,2.7618e-27,0.0884,-0.026742,0.59964,0.6,-0.1116,0
1.0259,0.0062873,2.7208e-27,0.0888,-0.026749,0.59943,0.6,-0.1112,0
1.0258,0.0063365,2.6799e-27,0.0892,-0.026755,0.59922,0.6,-0.1108,0
1.0256,0.0063857,2.6389e-27,0.0896,-0.026762,0.59902,0.6,-0.1104,0
1.0254,0.0064348,2.5979e-27,0.09,-0.026768,0.59881,0.6,-0.11,0
1.0252,0.0064875,2.5475e-27,0.0904,-0.026774,0.59857,0.6,-0.1096,0
1.0251,0.0065401,2.497e-27,0.0908,-0.02678,0.59834,0.6,-0.1092,0
1.0249,0.0065927,2.4466e-27,0.0912,-0.026785,0.5981,0.6,-0.1088,0
1.0247,0.0066454,2.3961e-27,0.0916,-0.026791,0.59786,0.6,-0.1084,0
1.0245,0.006698,2.3456e-27,0.092,-0.026797,0.59763,0.6,-0.108,0
1.0243,0.0067506,2.2952e-27,0.0924,-0.026802,0.59739,0.6,-0.1076,0
1.0241,0.0068033,2.2447e-27,0.0928,-0.026808,0.59716,0.6,-0.1072,0
