"U:0","U:1","U:2","arc_length","p","total(p)","Points:0","Points:1","Points:2"
0.64586,0.014148,-2.1921e-22,0.202,1.9386,2.5768,0.6,0.002,0
0.64131,0.014417,-1.9642e-22,0.204,1.9189,2.5496,0.6,0.004,0
0.63682,0.014728,-1.9543e-22,0.206,1.8993,2.5226,0.6,0.006,0
0.63242,0.015074,-1.6697e-22,0.208,1.8796,2.4957,0.6,0.008,0
0.62808,0.015438,-1.245e-22,0.21,1.8599,2.4688,0.6,0.01,0
0.62398,0.015847,-4.8284e-23,0.212,1.8403,2.4421,0.6,0.012,0
0.61998,0.016266,-1.8979e-23,0.214,1.8206,2.4155,0.6,0.014,0
0.6162,0.016707,-8.8692e-23,0.216,1.8009,2.3891,0.6,0.016,0
0.61268,0.017161,-1.1424e-22,0.218,1.7813,2.3629,0.6,0.018,0
0.60931,0.017621,-1.1634e-22,0.22,1.7616,2.3369,0.6,0.02,0
0.60642,0.018088,1.8979e-23,0.222,1.7419,2.3112,0.6,0.022,0
0.60371,0.018553,1.3265e-22,0.224,1.7223,2.2856,0.6,0.024,0
0.60138,0.019014,1.945e-22,0.226,1.7026,2.2604,0.6,0.026,0
0.59944,0.019464,1.7317e-22,0.228,1.683,2.2354,0.6,0.028,0
0.59772,0.019909,1.0624e-22,0.23,1.6633,2.2106,0.6,0.03,0
0.59663,0.020329,4.4384e-23,0.232,1.6437,2.1862,0.6,0.032,0
0.59577,0.020738,6.1693e-24,0.234,1.6241,2.1621,0.6,0.034,0
0.59539,0.021124,2.0625e-23,0.236,1.6044,2.1383,0.6,0.036,0
0.59549,0.021485,4.6117e-23,0.238,1.5848,2.1148,0.6,0.038,0
0.59584,0.021833,7.7757e-23,0.24,1.5652,2.0915,0.6,0.04,0
0.59695,0.022134,3.7421e-23,0.242,1.5455,2.0688,0.6,0.042,0
0.59834,0.022416,1.6545e-23,0.244,1.5259,2.0462,0.6,0.044,0
0.6003,0.022662,4.1845e-23,0.246,1.5063,2.0241,0.6,0.046,0
0.60283,0.022865,3.2114e-23,0.248,1.4868,2.0025,0.6,0.048,0
0.60567,0.023047,3.2985e-24,0.25,1.4672,1.981,0.6,0.05,0
0.60942,0.023157,1.973e-24,0.252,1.4476,1.9603,0.6,0.052,0
0.61352,0.023241,3.5191e-23,0.254,1.428,1.9398,0.6,0.054,0
