"U:0","U:1","U:2","arc_length","p","total(p)","Points:0","Points:1","Points:2"
0.65599,0.011535,-1.7569e-22,0.198,1.9766,2.6302,0.6,-0.002,0
0.65145,0.01178,-2.5679e-22,0.2,1.9569,2.603,0.6,0,0
0.64692,0.012097,-2.2287e-22,0.202,1.9373,2.5759,0.6,0.002,0
0.64241,0.012435,-1.9982e-22,0.204,1.9176,2.5488,0.6,0.004,0
0.63795,0.012819,-1.9892e-22,0.206,1.8979,2.5218,0.6,0.006,0
0.63359,0.01324,-1.7001e-22,0.208,1.8783,2.4949,0.6,0.008,0
0.62929,0.013681,-1.2678e-22,0.21,1.8586,2.468,0.6,0.01,0
0.62524,0.014167,-4.9169e-23,0.212,1.8389,2.4414,0.6,0.012,0
0.62129,0.014666,-1.939e-23,0.214,1.8193,2.4149,0.6,0.014,0
0.61758,0.015187,-9.0588e-23,0.216,1.7996,2.3885,0.6,0.016,0
0.61415,0.015722,-1.1668e-22,0.218,1.7799,2.3624,0.6,0.018,0
0.61087,0.016263,-1.1882e-22,0.22,1.7603,2.3364,0.6,0.02,0
0.60806,0.016813,1.9563e-23,0.222,1.7406,2.3108,0.6,0.022,0
0.60544,0.017361,1.3586e-22,0.224,1.721,2.2853,0.6,0.024,0
0.60319,0.017908,1.9929e-22,0.226,1.7013,2.2601,0.6,0.026,0
0.60131,0.018449,1.7751e-22,0.228,1.6817,2.2352,0.6,0.028,0
0.59963,0.018986,1.0902e-22,0.23,1.662,2.2104,0.6,0.03,0
0.59852,0.019509,4.5573e-23,0.232,1.6424,2.1861,0.6,0.032,0
0.59762,0.020026,6.3863e-24,0.234,1.6228,2.1619,0.6,0.034,0
0.59713,0.020531,2.1246e-23,0.236,1.6032,2.138,0.6,0.036,0
0.59705,0.021023,4.756e-23,0.238,1.5835,2.1144,0.6,0.038,0
0.59719,0.021508,8.0252e-23,0.24,1.5639,2.091,0.6,0.04,0
0.59798,0.021967,3.8568e-23,0.242,1.5443,2.068,0.6,0.042,0
0.59902,0.022416,1.7071e-23,0.244,1.5247,2.0453,0.6,0.044,0
0.60056,0.022841,4.3459e-23,0.246,1.5051,2.0229,0.6,0.046,0
0.60262,0.023236,3.3289e-23,0.248,1.4856,2.0009,0.6,0.048,0
0.60497,0.023615,3.2021e-24,0.25,1.466,1.9791,0.6,0.05,0
0.60822,0.023934,2.0715e-24,0.252,1.4464,1.958,0.6,0.052,0
0.61181,0.024226,3.6858e-23,0.254,1.4269,1.9372,0.6,0.054,0
0.6161,0.024464,1.4886e-22,0.256,1.4073,1.9169,0.6,0.056,0
0.62113,0.02464,1.6895e-22,0.258,1.3878,1.8972,0.6,0.058,0
0.62656,0.024783,1.3914e-22,0.26,1.3683,1.8778,0.6,0.06,0
0.63322,0.024818,6.0057e-23,0.262,1.3487,1.8595,0.6,0.062,0
0.64034,0.024815,-3.8175e-24,0.264,1.3292,1.8415,0.6,0.064,0
0.64839,0.024731,-3.2582e-23,0.266,1.3097,1.8243,0.6,0.066,0
0.65737,0.024569,-2.6715e-23,0.268,1.2902,1.8079,0.6,0.068,0
