"U:0","U:1","U:2","arc_length","p","total(p)","Points:0","Points:1","Points:2"
1.0012,0.0062996,2.3318e-23,0.35,0.49071,1.1903,0.6,0.15,0
1.0024,0.0062461,-5.5597e-24,0.352,0.47103,1.1681,0.6,0.152,0
1.0035,0.0061959,-2.052e-23,0.354,0.45134,1.1458,0.6,0.154,0
1.0044,0.0061522,-7.6682e-24,0.356,0.43167,1.1234,0.6,0.156,0
1.0053,0.0061141,5.216e-24,0.358,0.412,1.1008,0.6,0.158,0
1.006,0.0060788,1.8116e-23,0.36,0.39234,1.0781,0.6,0.16,0
1.0066,0.00605,-4.5292e-24,0.362,0.37268,1.0552,0.6,0.162,0
1.0072,0.0060228,-1.6365e-23,0.364,0.35303,1.0323,0.6,0.164,0
1.0077,0.0059988,-6.5961e-24,0.366,0.33339,1.0094,0.6,0.166,0
1.0081,0.0059773,3.2041e-24,0.368,0.31375,0.98628,0.6,0.168,0
1.0085,0.0059572,1.302e-23,0.37,0.29411,0.96317,0.6,0.17,0
1.0088,0.00594,-3.4815e-24,0.372,0.27449,0.93996,0.6,0.172,0
1.009,0.0059236,-1.2242e-23,0.374,0.25486,0.91674,0.6,0.174,0
1.0093,0.005909,-5.5303e-24,0.376,0.23524,0.89347,0.6,0.176,0
1.0095,0.0058965,1.2189e-24,0.378,0.21562,0.87016,0.6,0.178,0
1.0096,0.0058851,7.9869e-24,0.38,0.196,0.84684,0.6,0.18,0
1.0098,0.0058781,-2.4462e-24,0.382,0.17639,0.82348,0.6,0.182,0
1.0099,0.0058729,-8.1562e-24,0.384,0.15678,0.80011,0.6,0.184,0
1.01,0.0058715,-4.427e-24,0.386,0.13717,0.77673,0.6,0.186,0
1.0101,0.0058747,-6.6692e-25,0.388,0.11756,0.75333,0.6,0.188,0
1.0102,0.0058803,3.1087e-24,0.39,0.097953,0.72992,0.6,0.19,0
1.0103,0.0058926,-1.4791e-24,0.392,0.078351,0.7065,0.6,0.192,0
1.0104,0.0059091,-4.5492e-24,0.394,0.058754,0.68306,0.6,0.194,0
1.0104,0.005934,-4.5863e-24,0.396,0.039168,0.65962,0.6,0.196,0
1.0105,0.0059539,-4.03e-24,0.398,0.022847,0.64007,0.6,0.198,0
1.0105,0.0059712,-3.1767e-24,0.4,0.0081586,0.62246,0.6,0.2,0
