"U:0","U:1","U:2","arc_length","p","total(p)","Points:0","Points:1","Points:2"
0.63202,0.023106,1.2124e-22,0.26,1.3685,1.8822,0.6,0.06,0
0.63874,0.022763,5.2377e-23,0.262,1.349,1.864,0.6,0.062,0
0.64586,0.022396,-3.2426e-24,0.264,1.3295,1.846,0.6,0.064,0
0.65376,0.021981,-2.8292e-23,0.266,1.31,1.8288,0.6,0.066,0
0.66243,0.021521,-2.321e-23,0.268,1.2905,1.8123,0.6,0.068,0
0.6715,0.021038,-1.8274e-24,0.27,1.271,1.7961,0.6,0.07,0
0.6817,0.02049,-1.4514e-24,0.272,1.2515,1.781,0.6,0.072,0
0.69224,0.019919,-1.1632e-24,0.274,1.232,1.7662,0.6,0.074,0
0.7035,0.019302,-2.9726e-25,0.276,1.2125,1.7523,0.6,0.076,0
0.71536,0.018638,0,0.278,1.193,1.7389,0.6,0.078,0
0.72753,0.017949,0,0.28,1.1734,1.726,0.6,0.08,0
0.74041,0.017186,-1.3613e-24,0.282,1.1539,1.7139,0.6,0.082,0
0.75348,0.016398,-2.2717e-24,0.284,1.1344,1.7021,0.6,0.084,0
0.76689,0.01556,-2.2388e-24,0.286,1.1148,1.6909,0.6,0.086,0
0.78049,0.014681,-1.3434e-24,0.288,1.0952,1.6801,0.6,0.088,0
0.7942,0.013779,-1.9239e-26,0.29,1.0757,1.6694,0.6,0.09,0
0.80799,0.012831,-1.1451e-24,0.292,1.0561,1.6593,0.6,0.092,0
0.82174,0.011877,-1.8231e-24,0.294,1.0365,1.6492,0.6,0.094,0
0.8354,0.01091,-1.5362e-24,0.296,1.0169,1.6392,0.6,0.096,0
0.84884,0.0099473,-1.517e-24,0.298,0.99728,1.6293,0.6,0.098,0
0.86216,0.0089879,-1.6327e-24,0.3,0.97766,1.6193,0.6,0.1,0
0.87494,0.0080623,2.5872e-23,0.302,0.95804,1.6091,0.6,0.102,0
0.88745,0.007154,4.5256e-23,0.304,0.93841,1.5988,0.6,0.104,0
0.89945,0.0062812,4.6479e-23,0.306,0.91877,1.588,0.6,0.106,0
0.91079,0.0054487,1.6362e-23,0.308,0.89913,1.5768,0.6,0.108,0
0.92179,0.0046374,-3.0394e-23,0.31,0.87948,1.5653,0.6,0.11,0
0.93164,0.0038866,-6.3013e-23,0.312,0.85982,1.5527,0.6,0.112,0
0.94108,0.0031547,-7.9038e-23,0.314,0.84016,1.5396,0.6,0.114,0
0.94965,0.0024614,-6.0385e-23,0.316,0.8205,1.5258,0.6,0.116,0
0.95738,0.0018022,-3.2309e-23,0.318,0.80084,1.511,0.6,0.118,0
0.96467,0.0011608,6.8728e-25,0.32,0.78117,1.4958,0.6,0.12,0
